call.acousticIncidents,call.acousticIncidentDuration,call.nearTalkDuration,call.farTalkDuration,call.overTalkDuration,call.noTalkDuration,cdReports,cdPeriodicity,conversationAnalysisStats/nearTalkPercentage,call.farTalkPercentage,call.overTalkPercentage,call.noTalkPercentage,call.mutedDuration,call.muteOnEvents,call.volumeUpPress,call.volumeDownPress,call/id,call/startTime,call/endTime,call/duration,call/direction,call/source,call/pluginId,call/softphoneVersion,call/lineType,farTalk,nearTalk,overTalk,txLevelIn,txLevelOut,rxLevelIn,rxLevelOut,txNoiseOut,txNoiseIn,rxVolume,txVolume,rxNoiseOut,rxNoiseIn,periodicity
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,787,0,0,-56.29296875,-67.3203125,-7.51953125,-14.8046875,-80.80078125,-69.28515625,6,-0.4921875,-73.80859375,-73.80859375,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,1000,0,0,-57.2109375,-84.6484375,-12.26171875,-16.1875,-93.3203125,-69.875,6,-0.4921875,-54.27734375,-54.27734375,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,929,0,0,-49.1484375,-92.1875,-8.5390625,-9.95703125,-93.3203125,-68.73046875,6,-0.4921875,-34.74609375,-34.74609375,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,0,0,0,-41.83984375,-92.3359375,-17.0078125,-16.06640625,-93.3203125,-55.2890625,6,-0.4921875,-33.0546875,-37.2421875,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,0,0,0,-60.21484375,-92.3359375,-44.10546875,-47.6171875,-93.3203125,-73.07421875,6,-0.4921875,-64.69140625,-63.0859375,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,196,0,0,-49.6953125,-92.3359375,-16.30078125,-21.70703125,-93.3203125,-70.984375,6,-0.4921875,-60.83203125,-61.890625,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,372,0,0,-49.0390625,-92.3359375,-13.71484375,-15.51171875,-93.3203125,-68.30078125,6,-0.4921875,-64.8984375,-61.0859375,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,1000,0,0,-54.75390625,-92.3359375,-9.6953125,-12.50390625,-93.3203125,-65.625,6,-0.4921875,-45.3671875,-41.5546875,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,151,0,0,-57.6640625,-92.3359375,-11.22265625,-19.0078125,-93.3203125,-70.61328125,6,-0.4921875,-46.0703125,-46.56640625,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,551,0,0,-59.98828125,-92.3359375,-18.8359375,-22.40234375,-93.3203125,-74.42578125,6,-0.4921875,-49.14453125,-49.7578125,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,0,0,0,-62.77734375,-92.3359375,-28.91015625,-30.984375,-93.3203125,-75.0078125,6,-0.4921875,-49.91796875,-53.01953125,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,707,0,0,-58.50390625,-92.3359375,-13.78515625,-14.14453125,-93.3203125,-73.15234375,6,-0.4921875,-40.4921875,-40,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,337,0,0,-63.1015625,-92.3359375,-29.6484375,-28.40625,-93.3203125,-75.33203125,6,-0.4921875,-48.70703125,-52.0390625,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,0,0,0,-63.0546875,-92.3359375,-38.140625,-34.77734375,-93.3203125,-77.08984375,6,-0.4921875,-57.140625,-56.44140625,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,384,0,0,-56.0078125,-92.3359375,-16.1171875,-13.92578125,-93.3203125,-73.3984375,6,-0.4921875,-46.69140625,-43.02734375,1000
